Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,67.4,86.7,119.2,129.2,172.0,190.0,215.8,190.1,335.3,332.9,758.8,1260.7,892.2
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,9.4,18.0,21.8,25.4,32.4,32.6,130.8,146.2,78.2,198.5,352.4,448.5,353.3
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,32.1,33.2,44.4,45.9,69.8,70.1,170.1,208.6,170.4,187.8,294.6,227.5,190.3
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,Қўшработ тумани,9.4,10.4,12.6,15.4,19.0,19.1,64.5,72.5,20.5,35.1,29.9,63.0,33.9
1718218,Narpay tumani,Нарпайский район,Narpai district,Нарпай тумани,45.5,53.1,66.9,71.1,86.5,97.3,156.9,187.8,135.7,199.0,391.0,373.3,238.2
1718224,Payariq tumani,Пайарыкский район,Payaryk district,Паяриқ тумани,13.3,13.5,20.6,23.4,45.5,45.7,130.9,173.3,96.9,168.0,219.1,193.9,205.0
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,Пастдарғом тумани,25.0,29.9,36.2,46.2,88.1,88.5,225.5,289.1,210.6,294.1,520.6,631.9,293.9
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,Пахтачи тумани,13.6,14.8,16.1,17.0,25.3,25.5,76.6,75.4,75.2,89.7,120.2,387.5,36.2
1718233,Samarqand tumani,Самаркандский район,Samarkand district,Самарқанд тумани,79.2,106.8,169.8,145.2,269.4,270.7,371.0,445.0,546.0,884.9,1040.8,1312.6,930.8
1718235,Nurobod tumani,Нурабадский район,Nurabad district,Нуробод тумани,4.8,5.5,10.1,11.3,17.8,17.9,76.4,89.7,31.7,151.7,226.2,147.8,25.8
1718236,Urgut tumani,Ургутский район,Urgut district,Ургут тумани,77.7,108.0,166.7,216.6,342.5,344.1,527.4,637.7,894.3,1219.3,1502.9,1555.7,1251.7
1718238,Tayloq tumani,Тайлякский район,Tailak district,Тайлоқ тумани,33.2,42.7,38.6,78.0,143.6,144.3,383.0,434.0,1079.4,400.0,619.1,1147.6,1490.6
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,290.7,363.6,445.5,537.8,687.7,942.8,985.2,1068.4,1218.0,1601.3,2161.1,2640.6,1733.6
1722401,Termiz shahri,Город Термез,Termiz  city,Термиз шаҳри,32.8,52.6,65.4,69.2,78.8,140.6,153.1,169.5,155.6,205.6,462.3,471.1,316.4
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,Олтинсой тумани,9.6,11.6,15.7,19.1,27.3,21.8,69.3,51.5,49.9,56.8,116.8,171.0,88.1
1722202,Angor tumani,Ангорский район,Angor district,Aнгор тумани,10.5,12.7,17.2,19.8,27.9,46.8,39.8,35.4,47.0,63.9,71.4,89.7,31.5
1722203,Bandixon tumani,Бандихонский район,Bandykhan district,Бандихон тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,11.5,6.2
1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,15.4,18.1,22.7,27.9,37.0,39.0,39.6,39.7,45.0,59.8,67.2,77.3,33.5
1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,14.1,16.2,17.0,20.5,29.9,36.4,33.8,37.1,31.5,42.5,69.3,100.3,41.0
1722210,Denov tumani,Денауский район,Denau district,Денов тумани,52.4,66.5,75.5,99.5,109.0,207.2,209.3,292.3,239.9,281.1,325.6,327.3,183.1
1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,12.5,17.1,17.3,23.2,32.1,52.0,51.7,52.5,69.8,160.3,154.1,290.3,316.1
1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,13.2,14.4,19.3,23.1,35.8,55.3,48.1,37.9,50.6,65.7,106.2,116.0,58.4
1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,10.4,12.2,14.6,18.2,29.0,32.0,29.4,44.1,35.1,64.6,88.1,151.0,20.7
1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,Сариосиё тумани,15.9,18.7,22.2,32.6,43.7,57.1,56.7,51.3,103.4,100.2,105.1,127.2,50.3
1722220,Termiz tumani,Термезский район,Termiz district,Термиз тумани,14.1,16.4,23.3,29.0,41.3,48.0,47.7,54.1,70.2,89.6,110.4,125.8,91.1
1722221,Uzun tumani,Узунский район,Uzun district,Узун тумани,12.6,15.0,17.0,21.4,35.7,39.0,39.2,38.9,52.9,61.0,70.3,111.6,48.8
1722223,Sherobod tumani,Шерабадский район,Sherabad district,Шеробод тумани,21.2,27.2,32.0,38.9,52.3,48.6,51.5,49.6,100.6,104.8,116.9,128.1,63.9
1722226,Sho‘rchi tumani,Шурчинский район,Shurchi district,Шўрчи тумани,55.9,65.1,86.2,95.5,107.8,119.0,115.9,114.7,166.5,245.4,290.5,342.5,384.5
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,252.9,391.3,467.8,669.7,822.7,1135.3,1404.0,1516.6,1895.2,2840.3,2812.3,3718.9,2048.1
1724401,Guliston shahri,Город Гулистан,Gulistan city,Гулистон шаҳри,54.7,79.0,76.5,121.0,122.9,152.9,238.9,255.0,346.5,776.1,598.7,684.2,531.3
1724410,Shirin shahri,Город Ширин,Shirin city,Ширин шаҳри,3.0,3.8,5.0,9.4,13.2,19.4,23.6,17.1,18.4,36.0,27.0,21.1,12.6
